54320	boring , uninspiring , uptight and snappy 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 
42178	This class was ridiculous . I usually enjoy my PSYC classes and teachers but I can not say the same for `` Peg '' . She is odd , repititive , hard headed and very dull . Just avoid this teacher and you shouldn\'t have a problem . Spending $ 80 on a book was **** because we never used it and the semester project was annoying because she is so damn picky . 	This\O class\O was\O ridiculous\O .\O I\O usually\O enjoy\O my\O PSYC\O classes\O and\O teachers\O but\O I\O can\O not\O say\O the\O same\O for\O ``\O Peg\O ''\O .\O She\O is\O odd\O ,\O repititive\O ,\O hard\O headed\O and\O very\O dull\O .\O Just\O avoid\O this\O teacher\O and\O you\O shouldn\'t\O have\O a\O problem\O .\O Spending\O $\O 80\O on\O a\O book\O was\O ****\O because\O we\O never\O used\O it\B and\O the\O semester\O project\O was\O annoying\O because\O she\O is\O so\O damn\O picky\O .\O 	This\O class\O was\O ridiculous\O .\O I\O usually\O enjoy\O my\O PSYC\O classes\O and\O teachers\O but\O I\O can\O not\O say\O the\O same\O for\O ``\O Peg\O ''\O .\O She\O is\O odd\O ,\O repititive\O ,\O hard\O headed\O and\O very\O dull\O .\O Just\O avoid\O this\O teacher\O and\O you\O shouldn\'t\O have\O a\O problem\O .\O Spending\O $\O 80\O on\O a\O book\O was\O ****\O because\O we\O never\B used\I it\O and\O the\O semester\O project\O was\O annoying\O because\O she\O is\O so\O damn\O picky\O .\O 
61490	this class was pretty fun , and she graded so easily . really nice professor , by the way . 	this\O class\B was\O pretty\O fun\O ,\O and\O she\O graded\O so\O easily\O .\O really\O nice\O professor\O ,\O by\O the\O way\O .\O 	this\O class\O was\O pretty\B fun\I ,\O and\O she\O graded\O so\O easily\O .\O really\O nice\O professor\O ,\O by\O the\O way\O .\O 
53892	brilliant + computer dork + makes good art 	brilliant\O +\O computer\O dork\O +\O makes\B good\I art\I 	brilliant\O +\O computer\O dork\O +\O makes\O good\B art\O 
15010	do not be fooled by his seemingly nice appearance , he is an evil , self-absorbed , tyrant . professor galt is much better and more open-minded . 	do\O not\O be\O fooled\O by\O his\O seemingly\O nice\O appearance\O ,\O he\B is\O an\O evil\O ,\O self-absorbed\O ,\O tyrant\O .\O professor\O galt\O is\O much\O better\O and\O more\O open-minded\O .\O 	do\O not\O be\O fooled\O by\O his\O seemingly\O nice\O appearance\O ,\O he\O is\O an\B evil\I ,\O self-absorbed\O ,\O tyrant\O .\O professor\O galt\O is\O much\O better\O and\O more\O open-minded\O .\O 
35033	this is very good module madam Marcia teaches us well , i think it is more valuable if teach little bit slowly with the example . 	this\O is\O very\O good\O module\O madam\O Marcia\O teaches\O us\O well\O ,\O i\O think\O it\O is\O more\O valuable\O if\O teach\B little\O bit\O slowly\O with\O the\O example\O .\O 	this\O is\O very\O good\O module\O madam\O Marcia\O teaches\O us\O well\O ,\O i\O think\O it\O is\O more\O valuable\O if\O teach\O little\O bit\O slowly\O with\B the\I example\I .\O 
6380	I took all three of his classes . They are pretty difficult ... however he is VERY helpful and will even help you with the questions during the test ( sometimes gives answers ) . I would recomend him to anyone ! 	I\O took\O all\O three\O of\O his\O classes\O .\O They\B are\O pretty\O difficult\O ...\O however\O he\O is\O VERY\O helpful\O and\O will\O even\O help\O you\O with\O the\O questions\O during\O the\O test\O (\O sometimes\O gives\O answers\O )\O .\O I\O would\O recomend\O him\O to\O anyone\O !\O 	I\O took\O all\O three\O of\O his\O classes\O .\O They\O are\O pretty\B difficult\I ...\O however\O he\O is\O VERY\O helpful\O and\O will\O even\O help\O you\O with\O the\O questions\O during\O the\O test\O (\O sometimes\O gives\O answers\O )\O .\O I\O would\O recomend\O him\O to\O anyone\O !\O 
60503	Amazing , understanding , helpful , approachable , kind and a great resource for students . 	Amazing\O ,\O understanding\O ,\O helpful\O ,\O approachable\B ,\O kind\O and\O a\O great\O resource\O for\O students\O .\O 	Amazing\O ,\O understanding\O ,\O helpful\O ,\O approachable\B ,\O kind\O and\O a\O great\O resource\O for\O students\O .\O 
3562	The most dedicated lecturer I have ever seen . During the pandemic period online session was not effective like the usual lectures . But these presentations , videos were outstanding . Everything was so clear and understandable . Thank you very much sir for not making this module boring for us . 	The\O most\O dedicated\O lecturer\O I\O have\O ever\O seen\O .\O During\O the\O pandemic\O period\O online\O session\O was\O not\O effective\O like\O the\O usual\O lectures\O .\O But\O these\O presentations\B ,\O videos\O were\O outstanding\O .\O Everything\O was\O so\O clear\O and\O understandable\O .\O Thank\O you\O very\O much\O sir\O for\O not\O making\O this\O module\O boring\O for\O us\O .\O 	The\O most\O dedicated\O lecturer\O I\O have\O ever\O seen\O .\O During\O the\O pandemic\O period\O online\O session\O was\O not\O effective\O like\O the\O usual\O lectures\O .\O But\O these\O presentations\O ,\O videos\O were\O outstanding\B .\O Everything\O was\O so\O clear\O and\O understandable\O .\O Thank\O you\O very\O much\O sir\O for\O not\O making\O this\O module\O boring\O for\O us\O .\O 
19600	Controlling woman who is in dire need of some fun . 	Controlling\B woman\I who\O is\O in\O dire\O need\O of\O some\O fun\O .\O 	Controlling\O woman\O who\O is\O in\O dire\B need\I of\O some\O fun\O .\O 
46593	terrible . can\'t teach . Very confusing . I droppped her class 	terrible\O .\O can\'t\O teach\O .\O Very\O confusing\O .\O I\O droppped\O her\B class\O 	terrible\O .\O can\'t\O teach\O .\O Very\O confusing\O .\O I\O droppped\B her\O class\O 
21140	Tutorials which conducted by you were very helpful..so we had a proper idea how to answer questions in the paper and got a wide and clear idea about the subject matter while answering the practical related questions ... . 	Tutorials\B which\O conducted\O by\O you\O were\O very\O helpful..so\O we\O had\O a\O proper\O idea\O how\O to\O answer\O questions\O in\O the\O paper\O and\O got\O a\O wide\O and\O clear\O idea\O about\O the\O subject\O matter\O while\O answering\O the\O practical\O related\O questions\O ...\O .\O 	Tutorials\O which\O conducted\O by\O you\O were\O very\B helpful\I ..so\O we\O had\O a\O proper\O idea\O how\O to\O answer\O questions\O in\O the\O paper\O and\O got\O a\O wide\O and\O clear\O idea\O about\O the\O subject\O matter\O while\O answering\O the\O practical\O related\O questions\O ...\O .\O 
46571	terrible . can\'t teach . Very confusing . I droppped her class 	terrible\O .\O can\'t\O teach\B .\O Very\O confusing\O .\O I\O droppped\O her\O class\O 	terrible\O .\O can\'t\B teach\O .\O Very\O confusing\O .\O I\O droppped\O her\O class\O 
51910	Prof. Crocket is very knowledgable and very nice . 	Prof.\O Crocket\O is\O very\O knowledgable\B and\O very\O nice\O .\O 	Prof.\O Crocket\O is\O very\B knowledgable\I and\O very\O nice\O .\O 
18401	Lombrana is a very great instructor that cares alot about his students and their success . An asset to the school and our community . 	Lombrana\O is\O a\O very\O great\O instructor\O that\O cares\B alot\O about\O his\O students\O and\O their\O success\O .\O An\O asset\O to\O the\O school\O and\O our\O community\O .\O 	Lombrana\O is\O a\O very\O great\O instructor\O that\O cares\O alot\B about\O his\O students\O and\O their\O success\O .\O An\O asset\O to\O the\O school\O and\O our\O community\O .\O 
26860	Very good . 	Very\B good\I .\O 	Very\B good\I .\O 
8684	This class is really what you put into it . The Homework really helped if you at least try to do it before going to class . It was a usual Math class , she would solve math problems with everyone and she will answer any question we had . The class can be easy if you really do the homework . 	This\O class\B is\O really\O what\O you\O put\O into\O it\O .\O The\O Homework\O really\O helped\O if\O you\O at\O least\O try\O to\O do\O it\O before\O going\O to\O class\O .\O It\O was\O a\O usual\O Math\O class\O ,\O she\O would\O solve\O math\O problems\O with\O everyone\O and\O she\O will\O answer\O any\O question\O we\O had\O .\O The\O class\O can\O be\O easy\O if\O you\O really\O do\O the\O homework\O .\O 	This\O class\O is\O really\B what\O you\O put\O into\O it\O .\O The\O Homework\O really\O helped\O if\O you\O at\O least\O try\O to\O do\O it\O before\O going\O to\O class\O .\O It\O was\O a\O usual\O Math\O class\O ,\O she\O would\O solve\O math\O problems\O with\O everyone\O and\O she\O will\O answer\O any\O question\O we\O had\O .\O The\O class\O can\O be\O easy\O if\O you\O really\O do\O the\O homework\O .\O 
40575	Abramov was great ! He was easy to understand , his lectures were easy to keep up with , and he\ 's hilarious . Read the chapter before class and you\ 'll do great . Only 3 tests , no midterm , and they are multiple choice , 50 questions . Taking the final on Monday , fairly confident . READ the chapters ( textbooks in the reserves ) , and participate , you\ 'll pass ! 	Abramov\O was\O great\O !\O He\O was\O easy\O to\O understand\O ,\O his\O lectures\O were\O easy\O to\O keep\O up\O with\O ,\O and\O he\\O 's\O hilarious\O .\O Read\O the\O chapter\O before\O class\O and\O you\\O 'll\O do\O great\O .\O Only\O 3\O tests\O ,\O no\O midterm\B ,\O and\O they\O are\O multiple\O choice\O ,\O 50\O questions\O .\O Taking\O the\O final\O on\O Monday\O ,\O fairly\O confident\O .\O READ\O the\O chapters\O (\O textbooks\O in\O the\O reserves\O )\O ,\O and\O participate\O ,\O you\\O 'll\O pass\O !\O 	Abramov\O was\O great\O !\O He\O was\O easy\O to\O understand\O ,\O his\O lectures\O were\O easy\O to\O keep\O up\O with\O ,\O and\O he\\O 's\O hilarious\O .\O Read\O the\O chapter\O before\O class\O and\O you\\O 'll\O do\O great\O .\O Only\O 3\O tests\O ,\O no\B midterm\O ,\O and\O they\O are\O multiple\O choice\O ,\O 50\O questions\O .\O Taking\O the\O final\O on\O Monday\O ,\O fairly\O confident\O .\O READ\O the\O chapters\O (\O textbooks\O in\O the\O reserves\O )\O ,\O and\O participate\O ,\O you\\O 'll\O pass\O !\O 
26993	Yes . It 's quite good . He simply teach us from the basics . Very good lecture for beginners to know what is object oriented language and how it is working . Really appreciate it . 	Yes\O .\O It\O 's\O quite\O good\O .\O He\O simply\O teach\O us\O from\O the\O basics\O .\O Very\O good\O lecture\O for\O beginners\O to\O know\O what\O is\O object\O oriented\O language\O and\O how\O it\O is\O working\O .\O Really\O appreciate\O it\B .\O 	Yes\O .\O It\O 's\O quite\O good\O .\O He\O simply\O teach\O us\O from\O the\O basics\O .\O Very\O good\O lecture\O for\O beginners\O to\O know\O what\O is\O object\O oriented\O language\O and\O how\O it\O is\O working\O .\O Really\B appreciate\I it\O .\O 
37045	Dr. Bob is such a great teacher . Yes , his lectures are long , and his reading assignments are very ( very , very , very , ... ) long . But , in the end , it is all so worth it . Make sure you know how to take good and efficient notes . Don\'t be that one student who looks lost during lectures . I would take his class over and over again if I could . Just do it ! 	Dr.\O Bob\O is\O such\O a\O great\O teacher\O .\O Yes\O ,\O his\O lectures\O are\O long\O ,\O and\O his\O reading\O assignments\O are\O very\O (\O very\O ,\O very\O ,\O very\O ,\O ...\O )\O long\O .\O But\O ,\O in\O the\O end\O ,\O it\O is\O all\O so\O worth\O it\O .\O Make\O sure\O you\O know\O how\O to\O take\O good\O and\O efficient\O notes\O .\O Don\'t\O be\O that\O one\O student\O who\O looks\O lost\O during\O lectures\O .\O I\O would\O take\O his\O class\O over\O and\O over\O again\O if\O I\O could\O .\O Just\O do\O it\B !\O 	Dr.\O Bob\O is\O such\O a\O great\O teacher\O .\O Yes\O ,\O his\O lectures\O are\O long\O ,\O and\O his\O reading\O assignments\O are\O very\O (\O very\O ,\O very\O ,\O very\O ,\O ...\O )\O long\O .\O But\O ,\O in\O the\O end\O ,\O it\O is\O all\O so\O worth\O it\O .\O Make\O sure\O you\O know\O how\O to\O take\O good\O and\O efficient\O notes\O .\O Don\'t\O be\O that\O one\O student\O who\O looks\O lost\O during\O lectures\O .\O I\O would\O take\O his\O class\O over\O and\O over\O again\O if\O I\O could\O .\O Just\O do\B it\O !\O 
44483	This class was one of the worst experiences I have ever had . Terry likes to offend his students and throw temper-tantrums . Maybe for art students his class might be more enjoyable ; he certainly is passionate about what he is teaching . However , he likes to act like an english professor . Be expected to take just as many english quizzes as art quizzes 	This\O class\O was\O one\O of\O the\O worst\O experiences\O I\O have\O ever\O had\O .\O Terry\O likes\O to\O offend\O his\O students\O and\O throw\O temper-tantrums\O .\O Maybe\O for\O art\O students\O his\O class\O might\O be\O more\O enjoyable\O ;\O he\O certainly\O is\O passionate\B about\O what\O he\O is\O teaching\O .\O However\O ,\O he\O likes\O to\O act\O like\O an\O english\O professor\O .\O Be\O expected\O to\O take\O just\O as\O many\O english\O quizzes\O as\O art\O quizzes\O 	This\O class\O was\O one\O of\O the\O worst\O experiences\O I\O have\O ever\O had\O .\O Terry\O likes\O to\O offend\O his\O students\O and\O throw\O temper-tantrums\O .\O Maybe\O for\O art\O students\O his\O class\O might\O be\O more\O enjoyable\O ;\O he\O certainly\B is\I passionate\I about\O what\O he\O is\O teaching\O .\O However\O ,\O he\O likes\O to\O act\O like\O an\O english\O professor\O .\O Be\O expected\O to\O take\O just\O as\O many\O english\O quizzes\O as\O art\O quizzes\O 
43221	Very easy class and Prof. Dibble is a nice guy . This specific course needed to be a little more structured , he was as lost as we were . 	Very\O easy\O class\O and\O Prof.\O Dibble\O is\O a\O nice\B guy\O .\O This\O specific\O course\O needed\O to\O be\O a\O little\O more\O structured\O ,\O he\O was\O as\O lost\O as\O we\O were\O .\O 	Very\O easy\O class\O and\O Prof.\O Dibble\O is\O a\O nice\B guy\O .\O This\O specific\O course\O needed\O to\O be\O a\O little\O more\O structured\O ,\O he\O was\O as\O lost\O as\O we\O were\O .\O 
39382	This teacher has a very thick accent creating a language barier with her studens . She is easily frustrated when a student doesn\'t understand her . i do not recommened taking Organic Chem 1 with her over the summer ! ! ! it is a nightmare 	This\O teacher\O has\O a\O very\O thick\O accent\O creating\O a\O language\O barier\O with\O her\O studens\O .\O She\O is\O easily\O frustrated\O when\O a\O student\O doesn\'t\O understand\O her\O .\O i\O do\O not\O recommened\O taking\O Organic\O Chem\O 1\O with\O her\B over\O the\O summer\O !\O !\O !\O it\O is\O a\O nightmare\O 	This\O teacher\O has\O a\O very\O thick\O accent\O creating\O a\O language\O barier\O with\O her\O studens\O .\O She\O is\O easily\O frustrated\O when\O a\O student\O doesn\'t\O understand\O her\O .\O i\O do\B not\I recommened\I taking\O Organic\O Chem\O 1\O with\O her\O over\O the\O summer\O !\O !\O !\O it\O is\O a\O nightmare\O 
53170	Very boring . Pretty easy grader though . Quizzes straight from book . Lectures straight from book . Get a good hour or so nap in his class . 	Very\O boring\B .\O Pretty\O easy\O grader\O though\O .\O Quizzes\O straight\O from\O book\O .\O Lectures\O straight\O from\O book\O .\O Get\O a\O good\O hour\O or\O so\O nap\O in\O his\O class\O .\O 	Very\B boring\I .\O Pretty\O easy\O grader\O though\O .\O Quizzes\O straight\O from\O book\O .\O Lectures\O straight\O from\O book\O .\O Get\O a\O good\O hour\O or\O so\O nap\O in\O his\O class\O .\O 
11884	I\ 'm surprised she is still teaching . Evidently she hasn\'t improved in the last 30 years . I took a Mexican-American studies class from her in the 1970\ 's . I was very interested in the subject , but I have to say , she was the worst professor I have ever had in my entire academic career . What a miserable , arrogant , condescending person . 	I\\O 'm\O surprised\O she\O is\O still\O teaching\O .\O Evidently\O she\O hasn\'t\O improved\O in\O the\O last\O 30\O years\O .\O I\O took\O a\O Mexican-American\O studies\O class\O from\O her\O in\O the\O 1970\\O 's\O .\O I\O was\O very\O interested\O in\O the\O subject\O ,\O but\O I\O have\O to\O say\O ,\O she\O was\O the\O worst\O professor\O I\O have\O ever\O had\O in\O my\O entire\O academic\O career\O .\O What\O a\O miserable\O ,\O arrogant\B ,\O condescending\O person\O .\O 	I\\O 'm\O surprised\O she\O is\O still\O teaching\O .\O Evidently\O she\O hasn\'t\O improved\O in\O the\O last\O 30\O years\O .\O I\O took\O a\O Mexican-American\O studies\O class\O from\O her\O in\O the\O 1970\\O 's\O .\O I\O was\O very\O interested\O in\O the\O subject\O ,\O but\O I\O have\O to\O say\O ,\O she\O was\O the\O worst\O professor\O I\O have\O ever\O had\O in\O my\O entire\O academic\O career\O .\O What\O a\O miserable\O ,\O arrogant\B ,\O condescending\O person\O .\O 
33120	lectures were conducted very well and tutorial classes are more important us to understand the lessons and improve our knowledge . 	lectures\B were\O conducted\O very\O well\O and\O tutorial\O classes\O are\O more\O important\O us\O to\O understand\O the\O lessons\O and\O improve\O our\O knowledge\O .\O 	lectures\O were\O conducted\B very\I well\I and\O tutorial\O classes\O are\O more\O important\O us\O to\O understand\O the\O lessons\O and\O improve\O our\O knowledge\O .\O 
53925	hard to understand and doesn\'t help you out . 2 exams . midterm and final . exams are hard . i got my first and only D in this class . 	hard\O to\O understand\O and\O doesn\'t\O help\O you\O out\O .\O 2\O exams\O .\O midterm\O and\O final\O .\O exams\B are\O hard\O .\O i\O got\O my\O first\O and\O only\O D\O in\O this\O class\O .\O 	hard\O to\O understand\O and\O doesn\'t\O help\O you\O out\O .\O 2\O exams\O .\O midterm\O and\O final\O .\O exams\O are\O hard\B .\O i\O got\O my\O first\O and\O only\O D\O in\O this\O class\O .\O 
11010	Mr. Warner is not very clear on what exactly he wants on many assignments . It seems like it\ 's just hit or miss as to whether or not you happen to respond the way he wants on the sets he assigns with questions and answers . It\ 's not a super difficult class . Some said all you have to do is the work and you will receive an A , but I disagree . Need book 	Mr.\O Warner\O is\O not\O very\O clear\O on\O what\O exactly\O he\O wants\O on\O many\O assignments\B .\O It\O seems\O like\O it\\O 's\O just\O hit\O or\O miss\O as\O to\O whether\O or\O not\O you\O happen\O to\O respond\O the\O way\O he\O wants\O on\O the\O sets\O he\O assigns\O with\O questions\O and\O answers\O .\O It\\O 's\O not\O a\O super\O difficult\O class\O .\O Some\O said\O all\O you\O have\O to\O do\O is\O the\O work\O and\O you\O will\O receive\O an\O A\O ,\O but\O I\O disagree\O .\O Need\O book\O 	Mr.\O Warner\O is\O not\B very\I clear\I on\O what\O exactly\O he\O wants\O on\O many\O assignments\O .\O It\O seems\O like\O it\\O 's\O just\O hit\O or\O miss\O as\O to\O whether\O or\O not\O you\O happen\O to\O respond\O the\O way\O he\O wants\O on\O the\O sets\O he\O assigns\O with\O questions\O and\O answers\O .\O It\\O 's\O not\O a\O super\O difficult\O class\O .\O Some\O said\O all\O you\O have\O to\O do\O is\O the\O work\O and\O you\O will\O receive\O an\O A\O ,\O but\O I\O disagree\O .\O Need\O book\O 
50460	Most instruction takes place with videos and through practical applications . She is always quick to respond to questions and willing to help . 	Most\O instruction\O takes\O place\O with\O videos\O and\O through\O practical\O applications\O .\O She\O is\O always\O quick\O to\O respond\B to\I questions\I and\O willing\O to\O help\O .\O 	Most\O instruction\O takes\O place\O with\O videos\O and\O through\O practical\O applications\O .\O She\O is\O always\O quick\B to\O respond\O to\O questions\O and\O willing\O to\O help\O .\O 
57600	worst teacher ever 	worst\O teacher\B ever\O 	worst\B teacher\O ever\O 
40144	Prof. Brown is really good at what she does..she\ 's thorough , always helpful , and cheerful . Def . take a class with her . 	Prof.\O Brown\O is\O really\O good\O at\O what\O she\O does..she\\O 's\O thorough\O ,\O always\O helpful\O ,\O and\O cheerful\O .\O Def\O .\O take\O a\O class\O with\O her\B .\O 	Prof.\O Brown\O is\O really\O good\O at\O what\O she\O does..she\\O 's\O thorough\O ,\O always\O helpful\O ,\O and\O cheerful\O .\O Def\B .\I take\I a\O class\O with\O her\O .\O 
16712	Take advantage of the peer reviews . She helps comes up with ideas for the topics . Papers are only 3 pages long but they make you think . 	Take\O advantage\O of\O the\O peer\O reviews\O .\O She\O helps\O comes\O up\O with\O ideas\O for\O the\O topics\O .\O Papers\B are\O only\O 3\O pages\O long\O but\O they\O make\O you\O think\O .\O 	Take\O advantage\O of\O the\O peer\O reviews\O .\O She\O helps\O comes\O up\O with\O ideas\O for\O the\O topics\O .\O Papers\O are\O only\O 3\O pages\O long\O but\O they\O make\B you\I think\I .\O 
17180	not a very good teacher , comes off as kind of a jerk 	not\O a\O very\O good\O teacher\B ,\O comes\O off\O as\O kind\O of\O a\O jerk\O 	not\B a\I very\I good\I teacher\O ,\O comes\O off\O as\O kind\O of\O a\O jerk\O 
61140	Energetic , Wonderful , Passionate , good projects , straight forward on test requirements 	Energetic\B ,\O Wonderful\O ,\O Passionate\O ,\O good\O projects\O ,\O straight\O forward\O on\O test\O requirements\O 	Energetic\B ,\O Wonderful\O ,\O Passionate\O ,\O good\O projects\O ,\O straight\O forward\O on\O test\O requirements\O 
45753	Nice guy , but not a good instructor . He is boring and has nothing interesting to say . He is also an extremely difficult grader . 	Nice\O guy\O ,\O but\O not\O a\O good\O instructor\O .\O He\B is\O boring\O and\O has\O nothing\O interesting\O to\O say\O .\O He\O is\O also\O an\O extremely\O difficult\O grader\O .\O 	Nice\O guy\O ,\O but\O not\O a\O good\O instructor\O .\O He\O is\O boring\O and\O has\O nothing\B interesting\I to\O say\O .\O He\O is\O also\O an\O extremely\O difficult\O grader\O .\O 
47740	Great instructor . States clear objective every class . Very organized and enjoys what he is doing . If you show up you will pass . Easy course . 	Great\O instructor\B .\O States\O clear\O objective\O every\O class\O .\O Very\O organized\O and\O enjoys\O what\O he\O is\O doing\O .\O If\O you\O show\O up\O you\O will\O pass\O .\O Easy\O course\O .\O 	Great\B instructor\O .\O States\O clear\O objective\O every\O class\O .\O Very\O organized\O and\O enjoys\O what\O he\O is\O doing\O .\O If\O you\O show\O up\O you\O will\O pass\O .\O Easy\O course\O .\O 
30790	I can see the white board when i am sitting back of the class 	I\O can\O see\O the\O white\B board\I when\O i\O am\O sitting\O back\O of\O the\O class\O 	I\O can\B see\O the\O white\O board\O when\O i\O am\O sitting\O back\O of\O the\O class\O 
57782	By far the worst teacher , I have had . Wish I paid more attention to her reviews . Majority are 100 % accurate , save yourself the headache . 	By\O far\O the\O worst\O teacher\O ,\O I\O have\O had\O .\O Wish\O I\O paid\O more\O attention\O to\O her\O reviews\O .\O Majority\B are\O 100\O %\O accurate\O ,\O save\O yourself\O the\O headache\O .\O 	By\O far\O the\O worst\O teacher\O ,\O I\O have\O had\O .\O Wish\O I\O paid\O more\O attention\O to\O her\O reviews\O .\O Majority\O are\O 100\B %\I accurate\I ,\O save\O yourself\O the\O headache\O .\O 
56941	Terrible Teacher ! As a person he is pretty nice , but hes teaching style is so confuseing and tests are really hard . WOULD NOT RECCOMEND HIM ! 	Terrible\O Teacher\O !\O As\O a\O person\O he\O is\O pretty\O nice\B ,\O but\O hes\O teaching\O style\O is\O so\O confuseing\O and\O tests\O are\O really\O hard\O .\O WOULD\O NOT\O RECCOMEND\O HIM\O !\O 	Terrible\O Teacher\O !\O As\O a\O person\O he\O is\O pretty\B nice\I ,\O but\O hes\O teaching\O style\O is\O so\O confuseing\O and\O tests\O are\O really\O hard\O .\O WOULD\O NOT\O RECCOMEND\O HIM\O !\O 
40074	The worst teacher I have ever had . He can not explain how to do anything relevant . The main points that you need to know come after 40 minutes of nonsense proof . Do not take him for Calculus based Physics worst teaching job ever . 	The\O worst\O teacher\O I\O have\O ever\O had\O .\O He\O can\O not\O explain\O how\O to\O do\O anything\O relevant\O .\O The\O main\O points\O that\O you\O need\O to\O know\O come\O after\O 40\O minutes\O of\O nonsense\O proof\O .\O Do\O not\O take\O him\O for\O Calculus\O based\O Physics\O worst\O teaching\B job\O ever\O .\O 	The\O worst\O teacher\O I\O have\O ever\O had\O .\O He\O can\O not\O explain\O how\O to\O do\O anything\O relevant\O .\O The\O main\O points\O that\O you\O need\O to\O know\O come\O after\O 40\O minutes\O of\O nonsense\O proof\O .\O Do\O not\O take\O him\O for\O Calculus\O based\O Physics\O worst\B teaching\O job\O ever\O .\O 
59570	Good professor . Has an accent but its easy to get over . Fair grader , simple quizzes . Really makes sure you understand the material . 	Good\O professor\B .\O Has\O an\O accent\O but\O its\O easy\O to\O get\O over\O .\O Fair\O grader\O ,\O simple\O quizzes\O .\O Really\O makes\O sure\O you\O understand\O the\O material\O .\O 	Good\B professor\O .\O Has\O an\O accent\O but\O its\O easy\O to\O get\O over\O .\O Fair\O grader\O ,\O simple\O quizzes\O .\O Really\O makes\O sure\O you\O understand\O the\O material\O .\O 
32290	Madam Marcia always try to teach the module very interactive way.It is very good thing . 	Madam\O Marcia\O always\O try\O to\O teach\B the\O module\O very\O interactive\O way.It\O is\O very\O good\O thing\O .\O 	Madam\O Marcia\O always\O try\O to\O teach\O the\O module\O very\B interactive\I way\I .It\O is\O very\O good\O thing\O .\O 
51161	Amazing conductor ! He truly loves what he does and is so inspiring to everyone in the choir . He truly cares about each and everyone of us . 	Amazing\O conductor\O !\O He\O truly\O loves\B what\I he\I does\I and\O is\O so\O inspiring\O to\O everyone\O in\O the\O choir\O .\O He\O truly\O cares\O about\O each\O and\O everyone\O of\O us\O .\O 	Amazing\O conductor\O !\O He\O truly\B loves\I what\O he\O does\O and\O is\O so\O inspiring\O to\O everyone\O in\O the\O choir\O .\O He\O truly\O cares\O about\O each\O and\O everyone\O of\O us\O .\O 
32101	Lectures are comprehensive . Tutorials are helpful . 	Lectures\O are\O comprehensive\O .\O Tutorials\B are\O helpful\O .\O 	Lectures\O are\O comprehensive\O .\O Tutorials\O are\O helpful\B .\O 
43080	Science Fiction and Fantasy Lit is a great class , both because of the subject matter and because of Prof. Jackson . She assigns stories for nearly every class , but they\ 're all things you can knock out in an hour or two , at most . Do the reading and you\ 'll ace the quizzes , plus she\ 's more than willing to review papers and offer useful suggestions . 	Science\B Fiction\I and\O Fantasy\O Lit\O is\O a\O great\O class\O ,\O both\O because\O of\O the\O subject\O matter\O and\O because\O of\O Prof.\O Jackson\O .\O She\O assigns\O stories\O for\O nearly\O every\O class\O ,\O but\O they\\O 're\O all\O things\O you\O can\O knock\O out\O in\O an\O hour\O or\O two\O ,\O at\O most\O .\O Do\O the\O reading\O and\O you\\O 'll\O ace\O the\O quizzes\O ,\O plus\O she\\O 's\O more\O than\O willing\O to\O review\O papers\O and\O offer\O useful\O suggestions\O .\O 	Science\O Fiction\O and\O Fantasy\O Lit\O is\O a\O great\B class\O ,\O both\O because\O of\O the\O subject\O matter\O and\O because\O of\O Prof.\O Jackson\O .\O She\O assigns\O stories\O for\O nearly\O every\O class\O ,\O but\O they\\O 're\O all\O things\O you\O can\O knock\O out\O in\O an\O hour\O or\O two\O ,\O at\O most\O .\O Do\O the\O reading\O and\O you\\O 'll\O ace\O the\O quizzes\O ,\O plus\O she\\O 's\O more\O than\O willing\O to\O review\O papers\O and\O offer\O useful\O suggestions\O .\O 
35510	The overall teaching of the subject is good 	The\O overall\B teaching\I of\O the\O subject\O is\O good\O 	The\O overall\O teaching\O of\O the\O subject\O is\O good\B 
45295	I can say very honestly that I learned nothing . He actually discussed what a cowboy is , what a cowgirl is , the fact that young woman love horses and really anything but geography . He was very scatter brained , unorganized and unclear . Three eight hour long field trips , so this should be more like a six credit course . Do not take his classes ! 	I\O can\O say\O very\O honestly\O that\O I\O learned\O nothing\O .\O He\O actually\O discussed\O what\O a\O cowboy\O is\O ,\O what\O a\O cowgirl\O is\O ,\O the\O fact\O that\O young\O woman\O love\O horses\O and\O really\O anything\O but\O geography\O .\O He\O was\O very\O scatter\O brained\O ,\O unorganized\O and\O unclear\O .\O Three\O eight\O hour\O long\O field\O trips\O ,\O so\O this\O should\O be\O more\O like\O a\O six\O credit\O course\O .\O Do\O not\O take\O his\B classes\O !\O 	I\O can\O say\O very\O honestly\O that\O I\O learned\O nothing\O .\O He\O actually\O discussed\O what\O a\O cowboy\O is\O ,\O what\O a\O cowgirl\O is\O ,\O the\O fact\O that\O young\O woman\O love\O horses\O and\O really\O anything\O but\O geography\O .\O He\O was\O very\O scatter\O brained\O ,\O unorganized\O and\O unclear\O .\O Three\O eight\O hour\O long\O field\O trips\O ,\O so\O this\O should\O be\O more\O like\O a\O six\O credit\O course\O .\O Do\B not\I take\I his\O classes\O !\O 
